date,usd_eur
2025-06-13,0.9109
2025-06-16,0.9107
2025-06-17,0.9113
2025-06-18,0.913
2025-06-19,0.9118
2025-06-20,0.9125
2025-06-23,0.9118
2025-06-24,0.9112
2025-06-25,0.9098
2025-06-26,0.9094
2025-06-27,0.9075
2025-06-30,0.9057
2025-07-01,0.9043
2025-07-02,0.9009
2025-07-03,0.8995
2025-07-04,0.8987
2025-07-07,0.8992
2025-07-08,0.8971
2025-07-09,0.897
2025-07-10,0.8975
2025-07-11,0.897
2025-07-14,0.8973
2025-07-15,0.8975
2025-07-16,0.8969
2025-07-17,0.8959
2025-07-18,0.8961
2025-07-21,0.8944
2025-07-22,0.8909
2025-07-23,0.8898
2025-07-24,0.8889
2025-07-25,0.889
2025-07-28,0.8891
2025-07-29,0.888
2025-07-30,0.8881
2025-07-31,0.8894
2025-08-01,0.889
2025-08-04,0.8875
2025-08-05,0.8869
2025-08-06,0.8879
2025-08-07,0.8856
2025-08-08,0.8865
2025-08-11,0.8856
2025-08-12,0.8872
2025-08-13,0.8875
2025-08-14,0.8883
2025-08-15,0.8896
2025-08-18,0.8911
2025-08-19,0.8923
2025-08-20,0.8908
2025-08-21,0.8918
2025-08-22,0.8897
2025-08-25,0.8878
2025-08-26,0.8875
2025-08-27,0.8893
2025-08-28,0.8891
2025-08-29,0.8878
2025-09-01,0.8886
2025-09-02,0.8878
2025-09-03,0.8884
2025-09-04,0.8885
2025-09-05,0.887
2025-09-08,0.8886
2025-09-09,0.886
2025-09-10,0.8846
2025-09-11,0.8855
2025-09-12,0.8897
2025-09-15,0.887
2025-09-16,0.8867
2025-09-17,0.8831
2025-09-18,0.8828
2025-09-19,0.8817
2025-09-22,0.8817
2025-09-23,0.8837
2025-09-24,0.8849
2025-09-25,0.8843
2025-09-26,0.8853
2025-09-29,0.8854
2025-09-30,0.8837
2025-10-01,0.8836
2025-10-02,0.8842
2025-10-03,0.8897
2025-10-06,0.8917
2025-10-07,0.8927
2025-10-08,0.89
2025-10-09,0.8902
2025-10-10,0.8923
2025-10-13,0.8931
2025-10-14,0.8948
2025-10-15,0.8955
2025-10-16,0.8971
2025-10-17,0.8945
2025-10-20,0.8969
2025-10-21,0.8981
2025-10-22,0.8999
2025-10-23,0.9001
2025-10-24,0.9009
2025-10-27,0.902
2025-10-28,0.9017
2025-10-29,0.9005
2025-10-30,0.8989
2025-10-31,0.8987
2025-11-03,0.8974
2025-11-04,0.8963
2025-11-05,0.8985
2025-11-06,0.9009
2025-11-07,0.9004
2025-11-10,0.9023
2025-11-11,0.902
2025-11-12,0.9015
2025-11-13,0.902
2025-11-14,0.9009
2025-11-17,0.9004
2025-11-18,0.9024
2025-11-19,0.9029
2025-11-20,0.9035
2025-11-21,0.9031
2025-11-24,0.9027
2025-11-25,0.9028
2025-11-26,0.904
2025-11-27,0.9045
2025-11-28,0.9054
2025-12-01,0.9027
2025-12-02,0.9012
2025-12-03,0.9003
2025-12-04,0.9009
2025-12-05,0.9015
2025-12-08,0.9025
2025-12-09,0.9019
2025-12-10,0.9021
2025-12-11,0.9048
2025-12-12,0.9048
2025-12-15,0.902
2025-12-16,0.9027
2025-12-17,0.9045
2025-12-18,0.9062
2025-12-19,0.9057
2025-12-22,0.9054
2025-12-23,0.9065
2025-12-24,0.9067
2025-12-25,0.9075
2025-12-26,0.9067
2025-12-29,0.9072
2025-12-30,0.9064
2025-12-31,0.9061
2026-01-01,0.9045
2026-01-02,0.9032
2026-01-05,0.9011
2026-01-06,0.8987
2026-01-07,0.8973
2026-01-08,0.898
2026-01-09,0.8983
2026-01-12,0.8996
2026-01-13,0.8989
2026-01-14,0.8966
2026-01-15,0.8971
2026-01-16,0.8971
2026-01-19,0.8969
2026-01-20,0.8952
2026-01-21,0.8947
2026-01-22,0.8957
2026-01-23,0.8939
2026-01-26,0.8911
2026-01-27,0.8913
2026-01-28,0.8901
2026-01-29,0.8912
2026-01-30,0.8907
2026-02-02,0.8892
2026-02-03,0.8894
2026-02-04,0.8893
2026-02-05,0.8892
2026-02-06,0.8876
2026-02-09,0.8894
2026-02-10,0.8885
2026-02-11,0.8907
2026-02-12,0.8881
2026-02-13,0.8894
2026-02-16,0.8901
2026-02-17,0.8897
2026-02-18,0.8872
2026-02-19,0.8873
2026-02-20,0.8845
2026-02-23,0.8838
2026-02-24,0.8849
2026-02-25,0.8846
2026-02-26,0.8843
2026-02-27,0.8864
2026-03-02,0.8866
2026-03-03,0.8891
2026-03-04,0.8886
2026-03-05,0.8901
2026-03-06,0.8899
2026-03-09,0.8904
2026-03-10,0.8892
2026-03-11,0.8895
2026-03-12,0.89
2026-03-13,0.8902
2026-03-16,0.8875
2026-03-17,0.8891
2026-03-18,0.8895
2026-03-19,0.8902
2026-03-20,0.8924
2026-03-23,0.8923
2026-03-24,0.8933
2026-03-25,0.8945
2026-03-26,0.894
2026-03-27,0.894
2026-03-30,0.8929
2026-03-31,0.8892
2026-04-01,0.888
2026-04-02,0.886
2026-04-03,0.8837
2026-04-06,0.8826
2026-04-07,0.8862
2026-04-08,0.8844
2026-04-09,0.8852
2026-04-10,0.8824
2026-04-13,0.8828
2026-04-14,0.8838
2026-04-15,0.8821
2026-04-16,0.8811
2026-04-17,0.8797
2026-04-20,0.8805
2026-04-21,0.8809
2026-04-22,0.8821
2026-04-23,0.8818
2026-04-24,0.8795
2026-04-27,0.8778
2026-04-28,0.8758
2026-04-29,0.8745
2026-04-30,0.8736
2026-05-01,0.8729
2026-05-04,0.8726
2026-05-05,0.8698
2026-05-06,0.871
2026-05-07,0.8714
2026-05-08,0.8708
2026-05-11,0.87
2026-05-12,0.8692
2026-05-13,0.8686
2026-05-14,0.8693
2026-05-15,0.869
2026-05-18,0.8694
2026-05-19,0.8695
2026-05-20,0.8686
2026-05-21,0.8662
2026-05-22,0.8682
2026-05-25,0.8691
2026-05-26,0.871
2026-05-27,0.8703
2026-05-28,0.8708
2026-05-29,0.8698
2026-06-01,0.8708
2026-06-02,0.8732
2026-06-03,0.8754
2026-06-04,0.8755
2026-06-05,0.8766
2026-06-08,0.8774
2026-06-09,0.8776
2026-06-10,0.8782
2026-06-11,0.8771
2026-06-12,0.8747
2026-06-15,0.8754
2026-06-16,0.8738
2026-06-17,0.8725
2026-06-18,0.8718
2026-06-19,0.8741
2026-06-22,0.874
2026-06-23,0.8726
2026-06-24,0.8708
2026-06-25,0.8705
2026-06-26,0.8702
2026-06-29,0.8685
2026-06-30,0.8687
2026-07-01,0.8662
2026-07-02,0.8646
2026-07-03,0.8666
2026-07-06,0.8649
2026-07-07,0.8647
2026-07-08,0.8652
2026-07-09,0.8679
2026-07-10,0.8702
2026-07-13,0.8712
2026-07-14,0.8696
2026-07-15,0.8681
2026-07-16,0.8674
2026-07-17,0.8711
2026-07-20,0.8718
2026-07-21,0.8717
2026-07-22,0.872
2026-07-23,0.874
2026-07-24,0.8731
2026-07-27,0.8732
2026-07-28,0.8729
2026-07-29,0.8718
2026-07-30,0.8714
2026-07-31,0.8719
